ratio_A,ratio_B,ratio_C,ratio_D,ratio_E,Time,crystallized,diffusion,Lewis-base,Lewis-acid,topology,halogen-bond,π-stacking,anion-π,cation-π,hydrogen-bond,adsorption,crystallized_citydistance,Gibbis  free energy ΔG,reorganization,activation-energy,exciton,dipoles,averageC_Cbondlength,max_distance,distance_functiongroup_moleculecenter,total dipole moment,α-homo,α-lumo,α-gap,main_chain_angle,polaron_Euclidean distance,bipolaron_Euclidean distance,stability
0.72,0.24,0.02,0.01,0.01,100,0.72952437,0.80858357,1.19528008,1.04582241,0.269526174,0.88691321,0.72266283,0.63921845,0.73854899,0.87887837,0.77648501,163.262692,0.75371437,0.75732981,0.50841114,0.449860785,0.54419865,4.5285,13.937,3.762,5.142348864,-23.09430249,5.839563232,28.93386572,220.75,15.7600076,16.1545108,1
0.72,0.24,0.02,0.01,0.01,150,0.72952437,0.80858357,1.19528008,1.04582241,0.269526174,0.88691321,0.72266283,0.63921845,0.73854899,0.87887837,0.77648501,163.262692,0.75371437,0.75732981,0.50841114,0.449860785,0.54419865,4.5285,13.937,3.762,5.142348864,-23.09430249,5.839563232,28.93386572,220.75,15.7600076,16.1545108,0
0.72,0.24,0.02,0.01,0.01,200,0.89497082,0.78338821,1.3671925,1.21091351,0.37695455,1.09802369,0.65631183,0.73429533,0.71203272,0.90831542,0.75145702,146.903275,0.80020893,0.79177214,0.55521683,0.47496913,0.44519611,2.9405,9.872,5.039,6.912762999,-20.68881605,10.2967881,16.75404978,340.88,14.267098,14.3664797,0
0.72,0.24,0.02,0.01,0.01,50,0.89497082,0.78338821,1.3671925,1.21091351,0.37695455,1.09802369,0.65631183,0.73429533,0.71203272,0.90831542,0.75145702,146.903275,0.80020893,0.79177214,0.55521683,0.47496913,0.44519611,2.9405,9.872,5.039,6.912762999,-20.68881605,10.2967881,16.75404978,340.88,14.267098,14.3664797,0
0.72,0.24,0.02,0.01,0.01,100,0.89497082,0.78338821,1.3671925,1.21091351,0.37695455,1.09802369,0.65631183,0.73429533,0.71203272,0.90831542,0.75145702,146.903275,0.80020893,0.79177214,0.55521683,0.47496913,0.44519611,2.9405,9.872,5.039,6.912762999,-20.68881605,10.2967881,16.75404978,340.88,14.267098,14.3664797,0
0.72,0.24,0.02,0.01,0.01,150,0.89497082,0.78338821,1.3671925,1.21091351,0.37695455,1.09802369,0.65631183,0.73429533,0.71203272,0.90831542,0.75145702,146.903275,0.80020893,0.79177214,0.55521683,0.47496913,0.44519611,2.9405,9.872,5.039,6.912762999,-20.68881605,10.2967881,16.75404978,340.88,14.267098,14.3664797,0
0.6,0.32,0.1,0.1,0.2,50,0.81567906,0.67773326,1.23245938,1.13412904,0.187009644,1.00701653,0.63177607,0.7571138,0.67994968,0.91522907,0.70975471,151.295628,0.86230053,0.84490864,0.41744545,0.35803972,0.56077639,4.1035,11.169,6.756,8.614231874,-19.94594524,1.297983067,21.24392831,336.238,15.9128832,15.9395258,1
0.6,0.32,0.1,0.1,0.2,100,0.81567906,0.67773326,1.23245938,1.13412904,0.187009644,1.00701653,0.63177607,0.7571138,0.67994968,0.91522907,0.70975471,151.295628,0.86230053,0.84490864,0.41744545,0.35803972,0.56077639,4.1035,11.169,6.756,8.614231874,-19.94594524,1.297983067,21.24392831,336.238,15.9128832,15.9395258,1
0.6,0.32,0.1,0.1,0.2,50,0.84287836,0.72432539,1.43635268,1.31767672,0.2362638,1.05116295,0.68200521,0.81526521,0.81650226,0.94168066,0.88399947,136.00713,1.0438483,0.74840373,0.69497292,0.48124669,0.53081094,4.216,12.662,6.975,6.417496184,-20.1690786,0.214969942,20.38404854,348.042,14.2406697,14.3364188,1
0.6,0.32,0.1,0.1,0.2,100,0.84287836,0.72432539,1.43635268,1.31767672,0.2362638,1.05116295,0.68200521,0.81526521,0.81650226,0.94168066,0.88399947,136.00713,1.0438483,0.74840373,0.69497292,0.48124669,0.53081094,4.216,12.662,6.975,6.417496184,-20.1690786,0.214969942,20.38404854,348.042,14.2406697,14.3364188,0
0.6,0.32,0.1,0.1,0.2,150,0.84287836,0.72432539,1.43635268,1.31767672,0.2362638,1.05116295,0.68200521,0.81526521,0.81650226,0.94168066,0.88399947,136.00713,1.0438483,0.74840373,0.69497292,0.48124669,0.53081094,4.216,12.662,6.975,6.417496184,-20.1690786,0.214969942,20.38404854,348.042,14.2406697,14.3364188,0
0.6,0.32,0.1,0.1,0.2,200,0.84287836,0.72432539,1.43635268,1.31767672,0.2362638,1.05116295,0.68200521,0.81526521,0.81650226,0.94168066,0.88399947,136.00713,1.0438483,0.74840373,0.69497292,0.48124669,0.53081094,4.216,12.662,6.975,6.417496184,-20.1690786,0.214969942,20.38404854,348.042,14.2406697,14.3364188,0
0.6,0.32,0.1,0.1,0.2,50,0.76600496,0.63257221,1.19699986,1.13798912,0.26980015,0.94327414,0.59643199,0.72681086,0.65596208,0.76560532,0.76414803,147.041096,0.85268745,0.787623,0.51132525,0.41372722,0.52369459,4.2935,10.243,4.8,6.501113614,-20.64799898,2.4027653,23.05076428,339.916,15.6077227,15.6070428,0
0.6,0.32,0.1,0.1,0.2,100,0.76600496,0.63257221,1.19699986,1.13798912,0.26980015,0.94327414,0.59643199,0.72681086,0.65596208,0.76560532,0.76414803,147.041096,0.85268745,0.787623,0.51132525,0.41372722,0.52369459,4.2935,10.243,4.8,6.501113614,-20.64799898,2.4027653,23.05076428,339.916,15.6077227,15.6070428,0
0.6,0.32,0.1,0.1,0.2,150,0.76600496,0.63257221,1.19699986,1.13798912,0.26980015,0.94327414,0.59643199,0.72681086,0.65596208,0.76560532,0.76414803,147.041096,0.85268745,0.787623,0.51132525,0.41372722,0.52369459,4.2935,10.243,4.8,6.501113614,-20.64799898,2.4027653,23.05076428,339.916,15.6077227,15.6070428,0
